2025-09-11 00:41:56,030 | INFO     | __main__                       | Gemini Thinking Experiment started. Log file: logs/gemini_thinking_experiment_20250911_004156_mock.log
2025-09-11 00:41:56,030 | INFO     | __main__                       | 🎭 MOCK MODE ENABLED - All LLM responses will be simulated
2025-09-11 00:41:56,030 | INFO     | __main__                       | 💡 No API calls will be made, no costs will be incurred
2025-09-11 00:41:56,030 | INFO     | __main__                       | 🧠 Gemini Thinking LLM Game Theory Experiment Framework
2025-09-11 00:41:56,030 | INFO     | __main__                       | 📊 Loading configuration and validating setup...
2025-09-11 00:41:56,030 | INFO     | config                         | Configuration validation passed
2025-09-11 00:41:56,030 | INFO     | config                         | Configuration validation passed
2025-09-11 00:41:56,030 | INFO     | __main__                       | ✅ System setup validation passed
2025-09-11 00:41:56,030 | INFO     | __main__                       | ✅ Skipping API tests in mock mode
2025-09-11 00:41:56,031 | INFO     | __main__                       | ====================================================================================================
2025-09-11 00:41:56,031 | INFO     | __main__                       | 🧠 GEMINI THINKING EXPERIMENT OVERVIEW
2025-09-11 00:41:56,031 | INFO     | __main__                       | 🎭 MOCK MODE - Testing workflow and metrics
2025-09-11 00:41:56,031 | INFO     | __main__                       | ====================================================================================================
2025-09-11 00:41:56,031 | INFO     | __main__                       | 📱 MODELS (2 total):
2025-09-11 00:41:56,031 | INFO     | __main__                       |   🏆 CHALLENGERS:
2025-09-11 00:41:56,031 | INFO     | __main__                       |     • Gemini 2.0 Flash-Lite (No Thinking) (Thinking: ⚡ OFF)
2025-09-11 00:41:56,032 | INFO     | __main__                       |   🛡️ DEFENDER: Gemini 2.0 Flash-Lite (No Thinking) (Thinking: ⚡ OFF)
2025-09-11 00:41:56,032 | INFO     | __main__                       | 🎮 GAMES (4):
2025-09-11 00:41:56,032 | INFO     | __main__                       |     • SALOP: 3 conditions
2025-09-11 00:41:56,032 | INFO     | __main__                       |     • GREEN_PORTER: 4 conditions
2025-09-11 00:41:56,032 | INFO     | __main__                       |     • SPULBER: 3 conditions
2025-09-11 00:41:56,032 | INFO     | __main__                       |     • ATHEY_BAGWELL: 4 conditions
2025-09-11 00:41:56,033 | INFO     | __main__                       | 📊 EXPERIMENT SUMMARY:
2025-09-11 00:41:56,033 | INFO     | __main__                       |     • Total configurations: 14
2025-09-11 00:41:56,033 | INFO     | __main__                       |     • Total competitions: 14
2025-09-11 00:41:56,033 | INFO     | __main__                       |     • Estimated simulations: 280
2025-09-11 00:41:56,033 | INFO     | __main__                       |     • Mock mode: Fast execution, no API costs
2025-09-11 00:41:56,033 | INFO     | __main__                       | ====================================================================================================
2025-09-11 00:41:56,033 | INFO     | __main__                       | 🚀 Starting mock experiments...
2025-09-11 00:41:56,034 | INFO     | games.base_game.SalopGame      | Using entire file content from prompts/salop.md
2025-09-11 00:41:56,034 | INFO     | games.base_game.GreenPorterGame | Using entire file content from prompts/green_porter.md
2025-09-11 00:41:56,034 | INFO     | games.base_game.SpulberGame    | Using entire file content from prompts/spulber.md
2025-09-11 00:41:56,035 | INFO     | games.base_game.AtheyBagwellGame | Using entire file content from prompts/athey_bagwell.md
2025-09-11 00:41:56,035 | INFO     | competition.Competition        | ============================================================
2025-09-11 00:41:56,035 | INFO     | competition.Competition        | LLM GAME THEORY COMPETITION SYSTEM
2025-09-11 00:41:56,035 | INFO     | competition.Competition        | ============================================================
2025-09-11 00:41:56,035 | INFO     | competition.Competition        | 🎭 MOCK MODE - Using simulated agents
2025-09-11 00:41:56,035 | INFO     | competition.Competition        | Challenger models: 1
2025-09-11 00:41:56,035 | INFO     | competition.Competition        |   • Gemini 2.0 Flash-Lite (No Thinking) (Thinking: OFF)
2025-09-11 00:41:56,035 | INFO     | competition.Competition        | Defender: Gemini 2.0 Flash-Lite (No Thinking) (Thinking: OFF)
2025-09-11 00:41:56,035 | INFO     | competition.Competition        | ============================================================
2025-09-11 00:41:56,035 | INFO     | __main__                       | 🎮 Starting SALOP experiments...
2025-09-11 00:41:56,036 | INFO     | __main__                       | 🔄 Competition 1/3: gemini_2_0_flash_lite vs gemini_2_0_flash_lite (baseline:baseline)
2025-09-11 00:41:56,036 | INFO     | competition.Competition        | ================================================================================
2025-09-11 00:41:56,036 | INFO     | competition.Competition        | COMPETITION: SALOP - baseline - baseline
2025-09-11 00:41:56,036 | INFO     | competition.Competition        | ================================================================================
2025-09-11 00:41:56,036 | INFO     | competition.Competition        | Challenger: Gemini 2.0 Flash-Lite (No Thinking) (Thinking: OFF)
2025-09-11 00:41:56,036 | INFO     | competition.Competition        | Defender: Gemini 2.0 Flash-Lite (No Thinking) (Thinking: OFF)
2025-09-11 00:41:56,036 | INFO     | competition.Competition        | Simulations: 20
2025-09-11 00:41:56,036 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as challenger
2025-09-11 00:41:56,036 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as defender_2
2025-09-11 00:41:56,036 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as defender_3
2025-09-11 00:41:56,079 | ERROR    | competition.Competition        | Simulation 0 failed: 'GameConfig' object has no attribute 'get'
2025-09-11 00:41:56,079 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as challenger
2025-09-11 00:41:56,079 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as defender_2
2025-09-11 00:41:56,079 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as defender_3
2025-09-11 00:41:56,090 | ERROR    | competition.Competition        | Simulation 1 failed: 'GameConfig' object has no attribute 'get'
2025-09-11 00:41:56,091 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as challenger
2025-09-11 00:41:56,091 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as defender_2
2025-09-11 00:41:56,091 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as defender_3
2025-09-11 00:41:56,102 | ERROR    | competition.Competition        | Simulation 2 failed: 'GameConfig' object has no attribute 'get'
2025-09-11 00:41:56,102 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as challenger
2025-09-11 00:41:56,102 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as defender_2
2025-09-11 00:41:56,102 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as defender_3
2025-09-11 00:41:56,113 | ERROR    | competition.Competition        | Simulation 3 failed: 'GameConfig' object has no attribute 'get'
2025-09-11 00:41:56,113 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as challenger
2025-09-11 00:41:56,113 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as defender_2
2025-09-11 00:41:56,113 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as defender_3
2025-09-11 00:41:56,124 | ERROR    | competition.Competition        | Simulation 4 failed: 'GameConfig' object has no attribute 'get'
2025-09-11 00:41:56,124 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as challenger
2025-09-11 00:41:56,124 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as defender_2
2025-09-11 00:41:56,124 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as defender_3
2025-09-11 00:41:56,136 | ERROR    | competition.Competition        | Simulation 5 failed: 'GameConfig' object has no attribute 'get'
2025-09-11 00:41:56,136 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as challenger
2025-09-11 00:41:56,136 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as defender_2
2025-09-11 00:41:56,136 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as defender_3
2025-09-11 00:41:56,147 | ERROR    | competition.Competition        | Simulation 6 failed: 'GameConfig' object has no attribute 'get'
2025-09-11 00:41:56,147 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as challenger
2025-09-11 00:41:56,147 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as defender_2
2025-09-11 00:41:56,147 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as defender_3
2025-09-11 00:41:56,158 | ERROR    | competition.Competition        | Simulation 7 failed: 'GameConfig' object has no attribute 'get'
2025-09-11 00:41:56,158 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as challenger
2025-09-11 00:41:56,158 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as defender_2
2025-09-11 00:41:56,158 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as defender_3
2025-09-11 00:41:56,170 | ERROR    | competition.Competition        | Simulation 8 failed: 'GameConfig' object has no attribute 'get'
2025-09-11 00:41:56,170 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as challenger
2025-09-11 00:41:56,170 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as defender_2
2025-09-11 00:41:56,170 | INFO     | agents.create_agent            | 🎭 Creating mock agent for gemini_2_0_flash_lite as defender_3
2025-09-11 00:41:56,181 | ERROR    | competition.Competition        | Simulation 9 failed: 'GameConfig' object has no attribute 'get'
